miRNA_ID,read_count,reads_per_million_miRNA_mapped,cross-mapped
hsa-mir-6762,0,0,N
hsa-mir-6763,1,0.196031,N
hsa-mir-6764,1,0.196031,N
hsa-mir-6765,0,0,N
hsa-mir-6766,0,0,N
hsa-mir-6767,0,0,N
hsa-mir-6768,0,0,N
hsa-mir-6769a,0,0,N
hsa-mir-6769b,1,0.196031,N
hsa-mir-6770-1,0,0,N
hsa-mir-6770-2,0,0,N
hsa-mir-6770-3,0,0,N
hsa-mir-6771,0,0,N
hsa-mir-6772,0,0,N
hsa-mir-6773,0,0,N
hsa-mir-6774,1,0.196031,N
hsa-mir-6775,0,0,N
hsa-mir-6776,0,0,N
hsa-mir-6777,0,0,N
hsa-mir-6778,1,0.196031,N
hsa-mir-6779,0,0,N
hsa-mir-6780a,0,0,N
hsa-mir-6780b,0,0,N
hsa-mir-6781,3,0.588093,N
hsa-mir-6782,1,0.196031,N
hsa-mir-6783,1,0.196031,N
hsa-mir-6784,0,0,N
hsa-mir-6785,0,0,N
hsa-mir-6786,2,0.392062,N
hsa-mir-6787,0,0,N
hsa-mir-6788,2,0.392062,N
hsa-mir-6789,0,0,N
hsa-mir-6790,0,0,N
hsa-mir-6791,0,0,N
hsa-mir-6792,0,0,N
hsa-mir-6793,2,0.392062,N
hsa-mir-6794,0,0,N
hsa-mir-6795,0,0,N
hsa-mir-6796,0,0,N
hsa-mir-6797,0,0,N
hsa-mir-6798,3,0.588093,N
hsa-mir-6799,1,0.196031,N
hsa-mir-6800,0,0,N
hsa-mir-6801,0,0,N
hsa-mir-6802,1,0.196031,N
hsa-mir-6803,1,0.196031,N
hsa-mir-6804,1,0.196031,N
hsa-mir-6805,0,0,N
hsa-mir-6806,16,3.136497,N
hsa-mir-6807,1,0.196031,N
hsa-mir-6808,2,0.392062,N
hsa-mir-6809,0,0,N
hsa-mir-6810,1,0.196031,N
hsa-mir-6811,0,0,N
hsa-mir-6812,1,0.196031,N
hsa-mir-6813,1,0.196031,N
hsa-mir-6814,0,0,N
hsa-mir-6815,12,2.352372,N
hsa-mir-6816,0,0,N
hsa-mir-6817,0,0,N
hsa-mir-6818,0,0,N
hsa-mir-6819,0,0,N
hsa-mir-6820,7,1.372217,N
hsa-mir-6821,1,0.196031,N
hsa-mir-6822,0,0,N
hsa-mir-6823,0,0,N
hsa-mir-6824,0,0,N
hsa-mir-6825,0,0,N
hsa-mir-6826,0,0,N
hsa-mir-6827,0,0,N
hsa-mir-6828,0,0,N
hsa-mir-6829,0,0,N
hsa-mir-6830,0,0,N
hsa-mir-6831,0,0,N
hsa-mir-6832,0,0,N
hsa-mir-6833,2,0.392062,N
hsa-mir-6834,0,0,N
hsa-mir-6835,0,0,N
hsa-mir-6836,0,0,N
hsa-mir-6837,9,1.764279,N
hsa-mir-6838,0,0,N
hsa-mir-6839,1,0.196031,N
hsa-mir-6840,0,0,N
hsa-mir-6841,0,0,N
hsa-mir-6842,9,1.764279,N
hsa-mir-6843,2,0.392062,N
hsa-mir-6844,4,0.784124,N
hsa-mir-6845,1,0.196031,N
hsa-mir-6846,0,0,N
hsa-mir-6847,1,0.196031,N
hsa-mir-6848,0,0,N
hsa-mir-6849,0,0,N
hsa-mir-6850,3,0.588093,N
hsa-mir-6851,0,0,N
hsa-mir-6852,0,0,N
hsa-mir-6853,0,0,N
hsa-mir-6854,3,0.588093,N
hsa-mir-6855,1,0.196031,N
hsa-mir-6856,0,0,N
hsa-mir-6857,0,0,N
hsa-mir-6858,1,0.196031,N
hsa-mir-6859-1,0,0,N
hsa-mir-6859-2,0,0,N
hsa-mir-6859-3,0,0,N
hsa-mir-6859-4,0,0,N
hsa-mir-6860,2,0.392062,N
hsa-mir-6861,0,0,N
hsa-mir-6862-1,0,0,N
hsa-mir-6862-2,0,0,N
hsa-mir-6863,0,0,N
hsa-mir-6864,0,0,N
hsa-mir-6865,0,0,N
hsa-mir-6866,0,0,N
hsa-mir-6867,0,0,N
hsa-mir-6868,1,0.196031,N
hsa-mir-6869,0,0,N
hsa-mir-6870,3,0.588093,N
hsa-mir-6871,0,0,N
hsa-mir-6872,0,0,N
hsa-mir-6873,1,0.196031,N
hsa-mir-6874,1,0.196031,N
hsa-mir-6875,1,0.196031,N
hsa-mir-6876,0,0,N
hsa-mir-6877,0,0,N
hsa-mir-6878,0,0,N
hsa-mir-6879,0,0,N
hsa-mir-6880,0,0,N
hsa-mir-6881,0,0,N
hsa-mir-6882,1,0.196031,N
hsa-mir-6883,0,0,N
hsa-mir-6884,0,0,N
hsa-mir-6885,0,0,N
hsa-mir-6886,0,0,N
hsa-mir-6887,0,0,N
hsa-mir-6888,0,0,N
hsa-mir-6889,0,0,N
hsa-mir-6890,0,0,N
hsa-mir-6891,0,0,N
hsa-mir-6892,4,0.784124,N
hsa-mir-6893,0,0,N
hsa-mir-6894,0,0,N
hsa-mir-6895,0,0,N
hsa-mir-708,418,81.940974,N
hsa-mir-7-1,130,25.484035,N
hsa-mir-7106,0,0,N
hsa-mir-7107,0,0,N
hsa-mir-7108,0,0,N
hsa-mir-7109,0,0,N
hsa-mir-711,0,0,N
hsa-mir-7110,1,0.196031,N
hsa-mir-7111,1,0.196031,N
hsa-mir-7112,2,0.392062,N
hsa-mir-7113,0,0,N
hsa-mir-7114,0,0,N
hsa-mir-7150,0,0,N
hsa-mir-7151,0,0,N
hsa-mir-7152,0,0,N
hsa-mir-7153,0,0,N
hsa-mir-7154,0,0,N
hsa-mir-7155,0,0,N
hsa-mir-7156,0,0,N
hsa-mir-7157,0,0,N
hsa-mir-7158,0,0,N
hsa-mir-7159,0,0,N
hsa-mir-7160,0,0,N
hsa-mir-7161,0,0,N
hsa-mir-7162,0,0,N
hsa-mir-718,0,0,N
hsa-mir-7-2,0,0,N
hsa-mir-7-3,0,0,N
hsa-mir-744,213,41.754611,N
hsa-mir-7515,0,0,N
hsa-mir-758,126,24.699911,N
hsa-mir-759,0,0,N
hsa-mir-760,6,1.176186,N
hsa-mir-761,0,0,N
hsa-mir-762,0,0,N
hsa-mir-764,0,0,N
hsa-mir-7641-1,0,0,N
hsa-mir-7641-2,0,0,N
hsa-mir-765,0,0,N
hsa-mir-766,78,15.290421,N
hsa-mir-767,508,99.583767,N
hsa-mir-769,147,28.816563,N
hsa-mir-770,1,0.196031,N
hsa-mir-7702,5,0.980155,N
hsa-mir-7703,0,0,N
hsa-mir-7704,0,0,N
hsa-mir-7705,4,0.784124,N
hsa-mir-7706,7,1.372217,N
hsa-mir-7843,0,0,N
hsa-mir-7844,0,0,N
hsa-mir-7845,1,0.196031,N
hsa-mir-7846,6,1.176186,N
hsa-mir-7847,0,0,N
hsa-mir-7848,0,0,N
hsa-mir-7849,0,0,N
hsa-mir-7850,0,0,N
hsa-mir-7851,0,0,N
hsa-mir-7852,0,0,N
hsa-mir-7853,0,0,N
hsa-mir-7854,1,0.196031,N
hsa-mir-7855,0,0,N
hsa-mir-7856,0,0,N
hsa-mir-7973-1,0,0,N
hsa-mir-7973-2,0,0,N
hsa-mir-7974,3,0.588093,N
hsa-mir-7975,0,0,N
hsa-mir-7976,0,0,N
hsa-mir-7977,0,0,N
hsa-mir-7978,0,0,N
hsa-mir-802,4,0.784124,N
hsa-mir-8052,0,0,N
hsa-mir-8053,0,0,N
hsa-mir-8054,0,0,N
hsa-mir-8055,0,0,N
hsa-mir-8056,0,0,N
hsa-mir-8057,0,0,N
hsa-mir-8058,0,0,N
hsa-mir-8059,0,0,N
hsa-mir-8060,0,0,N
hsa-mir-8061,0,0,N
hsa-mir-8062,0,0,N
hsa-mir-8063,0,0,N
hsa-mir-8064,0,0,N
hsa-mir-8065,0,0,N
hsa-mir-8066,0,0,N
hsa-mir-8067,0,0,N
hsa-mir-8068,0,0,N
hsa-mir-8069-1,0,0,N
hsa-mir-8069-2,0,0,N
hsa-mir-8070,0,0,N
hsa-mir-8071-1,0,0,N
hsa-mir-8071-2,0,0,N
hsa-mir-8072,1,0.196031,N
hsa-mir-8073,0,0,N
hsa-mir-8074,0,0,N
hsa-mir-8075,0,0,N
hsa-mir-8076,0,0,N
hsa-mir-8077,0,0,N
hsa-mir-8078,0,0,N
hsa-mir-8079,0,0,N
hsa-mir-8080,0,0,N
hsa-mir-8081,0,0,N
hsa-mir-8082,0,0,N
hsa-mir-8083,0,0,N
hsa-mir-8084,0,0,N
hsa-mir-8085,0,0,N
hsa-mir-8086,0,0,N
hsa-mir-8087,0,0,N
hsa-mir-8088,0,0,N
hsa-mir-8089,0,0,N
hsa-mir-8485,0,0,N
hsa-mir-873,0,0,N
hsa-mir-874,125,24.50388,N
hsa-mir-875,0,0,N
hsa-mir-876,0,0,N
hsa-mir-877,19,3.72459,N
hsa-mir-885,812,159.177203,N
hsa-mir-887,23,4.508714,N
hsa-mir-888,0,0,N
hsa-mir-889,120,23.523725,N
hsa-mir-890,0,0,N
hsa-mir-891a,10,1.96031,N
hsa-mir-891b,0,0,N
hsa-mir-892a,0,0,N
hsa-mir-892b,0,0,N
hsa-mir-892c,0,0,N
hsa-mir-9-1,289,56.65297,N
hsa-mir-9-2,333,65.278336,N
hsa-mir-920,0,0,N
hsa-mir-921,0,0,N
hsa-mir-922,0,0,N
hsa-mir-924,0,0,N
hsa-mir-92a-1,58335,11435.470601,N
hsa-mir-92a-2,52490,10289.669184,N
hsa-mir-92b,189,37.049866,N
hsa-mir-93,36081,7072.995882,N
hsa-mir-9-3,297,58.221218,N
hsa-mir-933,0,0,N
hsa-mir-934,0,0,N
hsa-mir-935,12,2.352372,N
hsa-mir-936,0,0,N
hsa-mir-937,16,3.136497,N
hsa-mir-938,0,0,N
hsa-mir-939,3,0.588093,N
hsa-mir-940,17,3.332528,N
hsa-mir-941-1,0,0,N
hsa-mir-941-2,0,0,N
hsa-mir-941-3,0,0,N
hsa-mir-941-4,0,0,N
hsa-mir-941-5,0,0,N
hsa-mir-942,17,3.332528,N
hsa-mir-943,0,0,N
hsa-mir-944,2,0.392062,N
hsa-mir-95,30,5.880931,N
hsa-mir-9500,0,0,N
hsa-mir-96,21,4.116652,N
hsa-mir-98,225,44.106984,N
hsa-mir-99a,4393,861.16435,Y
hsa-mir-99b,82748,16221.176331,N
