miRNA_ID,read_count,reads_per_million_miRNA_mapped,cross-mapped
hsa-mir-3118-3,0,0,N
hsa-mir-3118-4,0,0,N
hsa-mir-3119-1,0,0,N
hsa-mir-3119-2,0,0,N
hsa-mir-3120,0,0,N
hsa-mir-3121,0,0,N
hsa-mir-3122,0,0,N
hsa-mir-3123,0,0,N
hsa-mir-3124,2,0.392062,N
hsa-mir-3125,0,0,N
hsa-mir-3126,0,0,N
hsa-mir-3127,15,2.940466,N
hsa-mir-3128,0,0,N
hsa-mir-3129,0,0,N
hsa-mir-3130-1,6,1.176186,N
hsa-mir-3130-2,12,2.352372,N
hsa-mir-3131,0,0,N
hsa-mir-3132,0,0,N
hsa-mir-3133,0,0,N
hsa-mir-3134,0,0,N
hsa-mir-3135a,0,0,N
hsa-mir-3135b,0,0,N
hsa-mir-3136,0,0,N
hsa-mir-3137,0,0,N
hsa-mir-3138,0,0,N
hsa-mir-3139,0,0,N
hsa-mir-3140,0,0,N
hsa-mir-3141,0,0,N
hsa-mir-3142,0,0,N
hsa-mir-3143,0,0,N
hsa-mir-3144,4,0.784124,N
hsa-mir-3145,1,0.196031,N
hsa-mir-3146,1,0.196031,N
hsa-mir-3147,0,0,N
hsa-mir-3148,0,0,N
hsa-mir-3149,0,0,N
hsa-mir-3150a,0,0,N
hsa-mir-3150b,7,1.372217,N
hsa-mir-3151,0,0,N
hsa-mir-3152,0,0,N
hsa-mir-3153,0,0,N
hsa-mir-3154,0,0,N
hsa-mir-3155a,0,0,N
hsa-mir-3155b,0,0,N
hsa-mir-3156-1,0,0,N
hsa-mir-3156-2,0,0,N
hsa-mir-3156-3,0,0,N
hsa-mir-3157,1,0.196031,N
hsa-mir-3158-1,0,0,N
hsa-mir-3158-2,0,0,N
hsa-mir-3159,0,0,N
hsa-mir-3160-1,0,0,N
hsa-mir-3160-2,0,0,N
hsa-mir-3161,7,1.372217,N
hsa-mir-3162,0,0,N
hsa-mir-3163,0,0,N
hsa-mir-3164,0,0,N
hsa-mir-3165,0,0,N
hsa-mir-3166,0,0,N
hsa-mir-3167,0,0,N
hsa-mir-3168,0,0,N
hsa-mir-3169,0,0,N
hsa-mir-3170,6,1.176186,N
hsa-mir-3171,2,0.392062,N
hsa-mir-3173,3,0.588093,N
hsa-mir-3174,0,0,N
hsa-mir-3175,1,0.196031,N
hsa-mir-3176,0,0,N
hsa-mir-3177,0,0,N
hsa-mir-3178,1,0.196031,N
hsa-mir-3179-1,0,0,N
hsa-mir-3179-2,0,0,N
hsa-mir-3179-3,0,0,N
hsa-mir-3179-4,0,0,N
hsa-mir-3180-1,0,0,N
hsa-mir-3180-2,0,0,N
hsa-mir-3180-3,0,0,N
hsa-mir-3180-4,0,0,N
hsa-mir-3180-5,0,0,N
hsa-mir-3181,0,0,N
hsa-mir-3182,0,0,N
hsa-mir-3183,0,0,N
hsa-mir-3184,0,0,N
hsa-mir-3185,0,0,N
hsa-mir-3186,0,0,N
hsa-mir-3187,7,1.372217,N
hsa-mir-3188,5,0.980155,N
hsa-mir-3189,2,0.392062,N
hsa-mir-3190,0,0,N
hsa-mir-3191,0,0,N
hsa-mir-3192,0,0,N
hsa-mir-3193,4,0.784124,N
hsa-mir-3194,2,0.392062,N
hsa-mir-3195,0,0,N
hsa-mir-3196,0,0,N
hsa-mir-3197,0,0,N
hsa-mir-3198-1,0,0,N
hsa-mir-3198-2,0,0,N
hsa-mir-3199-1,3,0.588093,N
hsa-mir-3199-2,7,1.372217,N
hsa-mir-32,207,40.578425,N
hsa-mir-3200,3,0.588093,N
hsa-mir-3201,0,0,N
hsa-mir-3202-1,1,0.196031,N
hsa-mir-3202-2,1,0.196031,N
hsa-mir-320a,3736,732.371958,Y
hsa-mir-320b-1,10,1.96031,Y
hsa-mir-320b-2,20,3.920621,Y
hsa-mir-320c-1,1,0.196031,N
hsa-mir-320c-2,1,0.196031,N
hsa-mir-320d-1,1,0.196031,N
hsa-mir-320d-2,2,0.392062,N
hsa-mir-320e,0,0,N
hsa-mir-323a,18,3.528559,N
hsa-mir-323b,35,6.861086,N
hsa-mir-324,292,57.241063,N
hsa-mir-325,0,0,N
hsa-mir-326,30,5.880931,N
hsa-mir-328,174,34.109401,N
hsa-mir-329-1,1,0.196031,N
hsa-mir-329-2,3,0.588093,N
hsa-mir-330,181,35.481618,N
hsa-mir-331,276,54.104566,N
hsa-mir-335,371,72.727515,N
hsa-mir-337,149,29.208625,N
hsa-mir-338,889,174.271593,N
hsa-mir-339,510,99.975829,N
hsa-mir-33a,120,23.523725,N
hsa-mir-33b,14,2.744435,N
hsa-mir-340,105,20.583259,N
hsa-mir-342,1585,310.709195,N
hsa-mir-345,165,32.345121,N
hsa-mir-346,1,0.196031,N
hsa-mir-34a,1589,311.493319,N
hsa-mir-34b,5,0.980155,N
hsa-mir-34c,32,6.272993,N
hsa-mir-3529,0,0,N
hsa-mir-3591,1,0.196031,N
hsa-mir-3605,3,0.588093,N
hsa-mir-3606,0,0,N
hsa-mir-3607,570,111.737692,N
hsa-mir-3609,0,0,N
hsa-mir-361,3173,622.006484,N
hsa-mir-3610,7,1.372217,N
hsa-mir-3611,0,0,N
hsa-mir-3612,0,0,N
hsa-mir-3613,77,15.09439,N
hsa-mir-3614,11,2.156341,N
hsa-mir-3615,52,10.193614,N
hsa-mir-3616,0,0,N
hsa-mir-3617,0,0,N
hsa-mir-3618,0,0,N
hsa-mir-3619,2,0.392062,N
hsa-mir-362,196,38.422083,N
hsa-mir-3620,1,0.196031,N
hsa-mir-3621,0,0,N
hsa-mir-3622a,2,0.392062,N
hsa-mir-3622b,0,0,N
hsa-mir-363,27,5.292838,N
hsa-mir-3646,0,0,N
hsa-mir-3648-1,0,0,N
hsa-mir-3648-2,0,0,N
hsa-mir-3649,0,0,N
hsa-mir-3650,0,0,N
hsa-mir-3651,8,1.568248,N
hsa-mir-3652,6,1.176186,N
hsa-mir-3653,12,2.352372,N
hsa-mir-3654,1,0.196031,N
